Name,lat,lon
Landouzy-la-Cour,49.85,3.98333
Montigny-les-Conde,48.9833,3.56667
Leuilly-sous-Coucy,49.4833,3.33333
Ploisy,49.3333,3.3
Serval,49.35,3.68333
Billy-sur-Ourcq,49.2167,3.3
Ambrief,49.3167,3.4
Prisces,49.7833,3.86667
Roupy,49.8167,3.18333
Roncheres,49.15,3.6
Lugny,49.7833,3.81667
Chezy-en-Orxois,49.1333,3.18333
Dhuizel,49.3667,3.61667
Etampes-sur-Marne,49.0333,3.41667
Vaux-en-Vermandois,49.8167,3.15
Boue,50.0167,3.7
La Fere,49.6667,3.36667
Saint-Michel,49.9167,4.13333
Castres,49.8,3.23333
Mesbrecourt-Richecourt,49.7,3.55
Beugneux,49.2333,3.41667
Clermont-les-Fermes,49.6667,3.95
Condren,49.6167,3.28333
Franqueville,49.81,3.80945
Arcy-Sainte-Restitue,49.25,3.46667
Burelles,49.7833,3.9
Rocourt-Saint-Martin,49.15,3.38333
Commenchon,49.6333,3.16667
Voulpaix,49.8333,3.83333
Bucy-les-Cerny,49.5833,3.51667
Renansart,49.7167,3.45
Presles-et-Boves,49.4,3.55
Lavaqueresse,49.95,3.70833
Cuffies,49.4167,3.31667
Villequier-Aumont,49.65,3.2
Vendelles,49.9167,3.13333
Attilly,49.85,3.16667
Berlancourt,49.7787,3.75806
Grisolles,49.15,3.35
Courcelles-sur-Vesle,49.3381,3.57195
Sons-et-Roncheres,49.75,3.66667
Seringes-et-Nesles,49.2,3.53333
Grandlup-et-Fay,49.6667,3.73333
Coincy,49.1667,3.41667
Marly-Gomont,49.9,3.8
Macogny,49.1667,3.23333
Tartiers,49.4333,3.23333
Gibercourt,49.7333,3.28333
Pontru,49.9,3.21667
Trelou-sur-Marne,49.077,3.60695
La Ville-aux-Bois-les-Dizy,49.6612,3.99334
Amigny-Rouy,49.6,3.3
Charmes,49.65,3.38333
Viffort,48.9667,3.45
Machecourt,49.6583,3.84167
Nogent-l'Artaud,48.9667,3.31667
Tannieres,49.2833,3.55
Saint-Erme-Outre-et-Ramecourt,49.5167,3.85
Jouaignes,49.3,3.5
Vaucelles-et-Beffecourt,49.5333,3.55
Lesquielles-Saint-Germain,49.9333,3.61667
Aizy-Jouy,49.4348,3.51639
Faucoucourt,49.5333,3.46667
Chavigny,49.4333,3.3
Veuilly-la-Poterie,49.0833,3.21667
Mezy-Moulins,49.0667,3.5
Gernicourt,49.4,3.86667
Quincy-Basse,49.5167,3.38333
Toulis-et-Attencourt,49.6833,3.73333
Puiseux-en-Retz,49.3,3.13333
Leuze,49.85,4.15
Crezancy,49.05,3.5
Noyales,49.9,3.55
Marigny-en-Orxois,49.0667,3.21667
Foreste,49.8167,3.1
Wissignicourt,49.5333,3.43333
Tavaux-et-Pontsericourt,49.7333,3.91667
Saponay,49.2167,3.48333
Ebouleau,49.6667,3.86667
Orainville,49.3833,4.01667
Missy-les-Pierrepont,49.6333,3.8
Neuilly-Saint-Front,49.1667,3.26667
Tergnier,49.65,3.3
La Ferte-Milon,49.1667,3.11667
Bassoles-Aulers,49.5333,3.38333
Le Verguier,49.9333,3.16667
Ostel,49.4333,3.56667
Sissy,49.8,3.43333
Leury,49.4333,3.33333
La Croix-sur-Ourcq,49.1667,3.35
Pernant,49.3833,3.23333
Etreux,49.9833,3.65
Bruys,49.2667,3.56667
Fontenelle,50.0333,3.86667
Cerseuil,49.3333,3.51667
Voharies,49.7833,3.8
Saint-Pierre-Aigle,49.3167,3.18333
Saint-Martin-Riviere,50.05,3.53333
Nanteuil-Notre-Dame,49.2,3.4
Selens,49.5,3.2
Monthenault,49.4833,3.66667
Saint-Eugene,49.0167,3.53333
Etouvelles,49.5333,3.58333
Faverolles,49.2242,3.17639
Lislet,49.6833,4.01667
Vendeuil,49.7167,3.35
Folembray,49.55,3.28333
Courbes,49.6833,3.45
Chacrise,49.3,3.4
Serches,49.35,3.45
Acy,49.35,3.41667
Verneuil-sous-Coucy,49.5333,3.31667
Bazoches-sur-Vesles,49.3073,3.61861
Mauregny-en-Haye,49.5333,3.8
Hartennes-et-Taux,49.2667,3.35
Vasseny,49.35,3.48333
Merval,49.35,3.7
Corcy,49.25,3.21667
Bony,49.9833,3.21667
Breny,49.1833,3.35
Brecy,49.15,3.43333
Bruyeres-sur-Fere,49.1833,3.43333
Flavy-le-Martel,49.7167,3.2
Pancy-Courtecon,49.4667,3.65
Bosmont-sur-Serre,49.7333,3.86667
Missy-aux-Bois,49.3333,3.25
Surfontaine,49.7333,3.45
Dagny-Lambercy,49.7667,4.03333
Lanchy,49.8333,3.08333
Vaudesson,49.4667,3.48333
Coeuvres-et-Valsery,49.3333,3.15
Epieds,49.1,3.45
Villeneuve-Saint-Germain,49.3833,3.35
Alaincourt,49.75,3.36667
Soucy,49.3167,3.13333
Archon,49.7417,4.11667
Pargny-Filain,49.4667,3.53333
Germaine,49.7833,3.11667
La Neuville-Housset,49.7833,3.71667
Belleau,49.1,3.3
Paars,49.3333,3.6
Laniscourt,49.55,3.55
Sermoise,49.3667,3.45
Barenton-Bugny,49.6333,3.65
Quierzy,49.5667,3.13333
Cerizy,49.75,3.33333
La Ferte-Chevresis,49.7333,3.56667
Ramicourt,49.95,3.33333
Bussiares,49.0833,3.25
Bernot,49.8667,3.5
Lerzy,49.9333,3.86667
Samoussy,49.5833,3.73333
Grougis,49.9333,3.53333
Macquigny,49.8833,3.55
La Flamengrie,50.0,3.91667
Servais,49.6167,3.35
Bertricourt,49.3833,4.0
Osly-Courtil,49.4,3.21667
Verneuil-sur-Serre,49.65,3.66667
Mayot,49.7,3.38333
Wassigny,50.0167,3.6
Barenton-Cel,49.65,3.63333
Englancourt,49.9167,3.8
Athies-sous-Laon,49.5667,3.68333
Froidestrees,49.9333,3.9
La Malmaison,49.5167,3.98333
Manicamp,49.5667,3.16667
Barenton-sur-Serre,49.6667,3.68333
Audigny,49.85,3.65
Ohis,49.9333,4.01667
Martigny,49.8667,4.13333
Barisis,49.5787,3.32806
Epaux-Bezu,49.1,3.35
Abbecourt,49.6,3.18333
Hauteville,49.8667,3.51667
Benay,49.75,3.31667
La Neuville-en-Beine,49.6833,3.15
Tupigny,49.95,3.6
Vervins,49.8333,3.9
Dorengt,49.9667,3.68333
Saint-Gobert,49.8,3.81667
Parcy-et-Tigny,49.2787,3.335
Saint-Pierre-les-Franqueville,49.8195,3.82361
Mont-Notre-Dame,49.3,3.58333
Mont-Saint-Martin,49.2833,3.63333
Chierry,49.0333,3.43333
Cutry,49.35,3.18333
Chevennes,49.8167,3.73333
Montigny-le-Franc,49.6833,3.91667
Bourg-et-Comin,49.4,3.65
Saint-Agnan,49.0167,3.6
Coulonges-Cohan,49.2012,3.63639
Premontre,49.55,3.4
Courtrizy-et-Fussigny,49.5167,3.8
Jumencourt,49.5167,3.35
Clairfontaine,49.9833,3.98333
Sequehart,49.9167,3.33333
Agnicourt-et-Sechelles,49.7167,3.95
Roucy,49.3667,3.81667
Premont,50.0,3.38333
